size_bytes,size_human,path,id,mimeType
2144908535,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-005.zip,1dZcCMYXr3AGzm7bMnxt-YryT13jw-gdT,application/zip
2144908535,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-005.zip,1tcS6Z6zZ1ONLeFI3AAhVVald5OSYKoBi,application/zip
2144908535,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-005.zip,1wJc9CIWx0ENoibUrPThAvTc65XhRDxXu,application/zip
2144477713,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-006.zip,1-vv6CjIR9IdH9wDjiEdqqxo99HmqLT9x,application/zip
2144477713,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-006.zip,1rbEIkj7wlkPI4zP0H_zkUMi1dIuEGuas,application/zip
2144477713,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-006.zip,1F4Bif0PRw_-HypiB7Z7A5UNKb5sDpzyh,application/zip
2144333741,2.0 GB,CURSOS/ASIMOV/07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-001.zip,1I8ZlxnF5GObIX0utoKEyG_hcSQ_b15BF,application/zip
2142864290,2.0 GB,CURSOS/ASIMOV/05 - [TRILHA] Python Office - Automações com Python-20260529T114723Z-3-006.zip,1L5BRumGk4_9SWFFVE8G9ojrcC-nxLI9U,application/zip
2142152645,2.0 GB,CURSOS/ASIMOV/Formações em Python & Inteligência Artificial/Formações em Python & Inteligência Artificial-20260529T103415Z-3-002.zip,1eeXZ6H_vmfB9C8hdomVtDJFRNa9c3W-j,application/zip
2141460048,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-014.zip,1AXwO3ehChNoFwiWBUZv47K4-5z9BA6Fd,application/zip
2141460048,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-014.zip,1vy4VDvFrdToRYlHdZrcPZ1ZUkN8ZKRRw,application/zip
2141460048,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-014.zip,1DC0_lbNynU8F_AVXG6L5IC7aVAKBwZgv,application/zip
2141332567,2.0 GB,CURSOS/ASIMOV/Engenharia de Dados/03 - [TRILHA] Engenharia de Dados-20260529T110445Z-3-001.zip,1j0JxBR59Hmw886qztEXwr9n8khhVlM3a,application/zip
2140452406,2.0 GB,CURSOS/ASIMOV/Formações em Python & Inteligência Artificial/Formações em Python & Inteligência Artificial-20260529T103415Z-3-003.zip,1iZxKNoJpY9RxPA6rtPXXjVDmkjofqM8v,application/zip
2140447963,2.0 GB,CURSOS/ASIMOV/Formações em Python & Inteligência Artificial/Formações em Python & Inteligência Artificial-20260529T103415Z-3-024.zip,1B3HDTJ_jIZCYKWWqVR2KaOkzxVH4HI2f,application/zip
