grupo,nome_normalizado,size,ocorrencias,path,id,mimeType
168,webpack-9fef09e744d92222.js,3471,2,CURSOS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/webpack-9fef09e744d92222.js,1WEHWHiN9Hd-ZWrg6g1xh6ZKIH3x4DTQf,text/javascript
169,"11. resumo e extração,.md",3416,2,"CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/07 - Engenharia de Prompts/apostilas_em_markdown/11. Resumo e Extração,.md",1218-g2SzEfcQwLnZlCaciB35lOJkc3Ek,text/markdown
169,"11. resumo e extração,.md",3416,2,"CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/05 - [TRILHA] Modelos Alternativos com Hugging Face/06 - Engenharia de Prompts/apostilas_em_markdown/11. Resumo e Extração,.md",1fYIwQ7zA2toXHr88WfKZu6zZ_g421Sfq,text/markdown
170,14. criação de chatbots personalizados.md,2979,2,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/07 - Engenharia de Prompts/apostilas_em_markdown/14. Criação de Chatbots Personalizados.md,16jIKLTjjvzkIMK_0ObTEMmDaTL-97t3I,text/markdown
170,14. criação de chatbots personalizados.md,2979,2,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/05 - [TRILHA] Modelos Alternativos com Hugging Face/06 - Engenharia de Prompts/apostilas_em_markdown/14. Criação de Chatbots Personalizados.md,1moURTfvZrHDk19WELaPxWD-Z4laPAaKK,text/markdown
171,01. introdução ao curso.md,1534,2,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/07 - Engenharia de Prompts/apostilas_em_markdown/01. Introdução ao Curso.md,1LH1T2soH8h89NTyfsKxJ41HuZSwdfA3L,text/markdown
171,01. introdução ao curso.md,1534,2,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/05 - [TRILHA] Modelos Alternativos com Hugging Face/06 - Engenharia de Prompts/apostilas_em_markdown/01. Introdução ao Curso.md,1j7eecAnQW-VdY3CrW-eCQ3TSNzMRgSd9,text/markdown
172,planilha sem título,1024,2,Planilha sem título,1P3UeIy1IHrnl8gXaNhIDmuYOqEqYEY79x9k5B-OveC4,application/vnd.google-apps.spreadsheet
172,planilha sem título,1024,2,Planilha sem título,1BhSa9u5FIcG0veq3ElizY7jIHVAkmF4Rz-NxAQmf9Bs,application/vnd.google-apps.spreadsheet
173,_buildmanifest.js,694,2,CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/_buildManifest.js,1EYvGqlize-itGH6c_QJCXfXYGKxMcedG,text/javascript
173,_buildmanifest.js,694,2,CURSOS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/_buildManifest.js,19EDIkyfsqS5h9Jwpvq1lT3BhAXodoMUn,text/javascript
174,saved_resource.html,506,2,CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/saved_resource.html,1GB86CiWh-B9ZqCDxO4mytMheqDOzIXLw,text/html
174,saved_resource.html,506,2,CURSOS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/saved_resource.html,1VIJiTiosU6pM8OHtar0N62WQAyAb_97O,text/html
175,readme.txt,477,2,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/05 - Aprendendo Python_ Conceitos Básicos/Aprendendo Python - Conceitos Básicos/readme.txt,10XPpRsbXkPpkHMFlVtl2mvSk5x8Fpz0E,text/plain
175,readme.txt,477,2,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/05 - [TRILHA] Modelos Alternativos com Hugging Face/04 - Aprendendo Python_ Conceitos Básicos/Material Aprendendo Python - Conceitos Básicos/readme.txt,1Pp5S9TRgg6YhoyW5nKbNfDQeeMpMzDva,text/plain
176,15. recursos adicionais.md,276,2,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/07 - Engenharia de Prompts/apostilas_em_markdown/15. Recursos adicionais.md,1Jhdcbcik1ATqc8rrzUQvbbruoKaYbfXm,text/markdown
176,15. recursos adicionais.md,276,2,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/05 - [TRILHA] Modelos Alternativos com Hugging Face/06 - Engenharia de Prompts/apostilas_em_markdown/15. Recursos adicionais.md,1aDbs2afEGNCOxBCRvJEG3-jxphz7I3Tj,text/markdown
177,desc.html,184,2,CURSOS/CURSOS DE INGLÊS/🎓 Ingles do Jerry 3.0/5. Módulo 4/5. Aula 03- Passado de To HAVE e terminação ED/desc.html,1Ayu8Zl1C5KU50vAQT6JnRNTKLJmA66KL,text/html
177,desc.html,184,2,"CURSOS/CURSOS DE INGLÊS/🎓 Ingles do Jerry 3.0/8. Módulo 7/3. Aula 03- Some, any e pronomes/desc.html",1sQdeAHHBbCD2oMyAv54ERQRFZ2s03obS,text/html
178,desc.html,157,2,CURSOS/CURSOS DE INGLÊS/🎓 Ingles do Jerry 3.0/2. Módulo 1/2. Aula 2 - Novas palavras is e are/desc.html,1NH5mIdQuCaXRXQrVxy10P0uOSMtvSSWe,text/html
178,desc.html,157,2,CURSOS/CURSOS DE INGLÊS/🎓 Ingles do Jerry 3.0/6. Módulo 5/3. Aula 02- Terminações er e or + presente composto/desc.html,1lrZiW3j0twq_Ok_jqjE2MMYA4SxzB2-J,text/html
179,_ssgmanifest.js,77,2,CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/_ssgManifest.js,1j19Q4rJG6FqozhKaWMA7yPLpoI8-e6xL,text/javascript
179,_ssgmanifest.js,77,2,CURSOS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/_ssgManifest.js,1PCJtKpRLrpaManMCetA9MMnT5ivcfWNA,text/javascript
