path,name,id,mimeType,size,modifiedTime
CURSOS/ASIMOV/07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-009.zip,07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-009.zip,1cxGe1DvdVsZW2oUezbhw71bUK_o7P_DP,application/zip,2084264317,2026-05-29T12:45:01.000Z
CURSOS/ASIMOV/07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-010.zip,07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-010.zip,1zKpBQUjhixX9tH7LpABRw9McW8zfLGSR,application/zip,2080858730,2026-05-29T12:44:59.000Z
CURSOS/ASIMOV/07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-011.zip,07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-011.zip,1rmq5Jeg8-KVxrMvV9j0P5Qd9WpdXHCH0,application/zip,2005455203,2026-05-29T12:44:39.000Z
CURSOS/ASIMOV/07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-012.zip,07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-012.zip,1M4mPZW7OYUcAmtdQbGsLqVysrzXHuOMg,application/zip,1470815151,2026-05-29T12:40:20.000Z
Cópia de Raio x da empresa.xlsx,Cópia de Raio x da empresa.xlsx,17slfVN399Xkh3XMNj7jVTj3rbkXrAwQs,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,34256,2024-12-25T20:28:22.704Z
PLANILHA DE CÁLCULO VALOR DA HORA DE TRABALHO - LÓGIKA, PLANILHA DE CÁLCULO VALOR DA HORA DE TRABALHO - LÓGIKA,1EctKFJqehDmOIFnp9h3zLSKWez-QuFvObnMoLJpDHfc,application/vnd.google-apps.spreadsheet,67753,2026-06-04T23:52:05.926Z
Rapidinho: Me Conta do Seu Negócio! (respostas),Rapidinho: Me Conta do Seu Negócio! (respostas),18EZLKQ8gPWlQq1xmt0diUWCfGUoZ3niMX8LFFW3Rqco,application/vnd.google-apps.spreadsheet,2630,2025-09-12T21:46:28.972Z
BRIEFING PARA IDENTIDADE VISUAL,BRIEFING PARA IDENTIDADE VISUAL,1pg2wFusjqwFfA4vbY_BDKrykLPxXj_1xO7gCqbu_rvY,application/vnd.google-apps.form,280509,2025-10-08T13:03:39.535Z
Diagnóstico Estratégico - Lógika Creative,Diagnóstico Estratégico - Lógika Creative,1jtbeCfg5Y5kdvjDvpahEzAu0xp0FvINH25mz9Uv2ta4,application/vnd.google-apps.form,2152,2025-09-11T17:38:44.779Z
Rapidinho: Me Conta do Seu Negócio!,Rapidinho: Me Conta do Seu Negócio!,1ZhXl_PlzmBcuxkeJp_r1AA5sgN_ni9ga5R3uPV-VCmk,application/vnd.google-apps.form,7928663,2025-11-18T05:48:37.695Z
