path,name,id,mimeType,size,modifiedTime
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/32 - Adicionar e editar texto.MP4,32 - Adicionar e editar texto.MP4,1Y0HjIqdmm7S6l7c6uG8qoi6qkxnU7dF0,video/mp4,63493431,2024-01-21T02:01:24.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/33 - Criando novos paths e shapes.MP4,33 - Criando novos paths e shapes.MP4,1gbQjs2X2mjRC_0T5BIse54MsvbeqGFLw,video/mp4,53902011,2024-01-21T02:01:14.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/34 - Texto seguindo um path.MP4,34 - Texto seguindo um path.MP4,17Mlwp0nk_zWhUn91rdXdcVSwueQF_YsG,video/mp4,22690885,2024-01-21T02:01:10.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/35 - Propriedades de shapes.MP4,35 - Propriedades de shapes.MP4,1j2fgb5fVtIzBI7ppt2pwNLKBLQaBR8i5,video/mp4,61693261,2024-01-21T02:01:18.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/36 - Década de 50_ - Texto sendo digitado_máquina de escrever.MP4,36 - Década de 50_ - Texto sendo digitado_máquina de escrever.MP4,1P4TkLocFik-TAkyWHoyRRVdM9PAzTOCB,video/mp4,29730707,2024-01-21T02:20:12.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/37 - Assine seus projetos! - Strokes + Textos.MP4,37 - Assine seus projetos! - Strokes + Textos.MP4,1J5-TG28z57Wh8ZAIaXLCsQK1iEbwwbz1,video/mp4,42913335,2024-01-21T02:01:20.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/38 - Voltando à quinta série! - Efeito Scribble.MP4,38 - Voltando à quinta série! - Efeito Scribble.MP4,1xC4Vybr0Vpth_8WS7J2aS5HWhHhYhFuR,video/mp4,50749478,2024-01-21T02:33:56.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/39 - Bomba! - Contadores e relógios.MP4,39 - Bomba! - Contadores e relógios.MP4,1aVl9nqQOoud78nLjfX_YRH0Kgwwgesc6,video/mp4,22951572,2024-01-21T02:00:46.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/40 - Ritmo de Festa! - Shapes Explosivos.MP4,40 - Ritmo de Festa! - Shapes Explosivos.MP4,1HdVarTuJIgsSSwzw6PhAei5R2yU7sf4u,video/mp4,39725449,2024-01-21T02:00:24.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/41 - Crise de Identidade - Morph de Shapes.MP4,41 - Crise de Identidade - Morph de Shapes.MP4,1aziYHNtjFSpJUUBvfXPooPIRyQ_kvgqB,video/mp4,22393664,2024-01-21T02:21:34.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/Materiais,Materiais,1_RrdW1z1IGDKtnDHfSo-qnuGydT34M6H,application/vnd.google-apps.folder,,2026-07-05T23:26:22.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/Materiais/34 TextoPath.rar,34 TextoPath.rar,1awCP2v4FWZ7_UYiY_T_oswHAQtXAbtiw,application/rar,5575,2024-01-21T02:26:50.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/Materiais/35 Effectors.rar,35 Effectors.rar,1ULCbgce52pw6UNZFEa3Igg_I7HYdzhoo,application/rar,21576,2024-01-21T02:26:50.000Z
