nome_normalizado,quantidade,ids,caminhos
c0017.mp4,2,114_jCXuy3iHPipEb_XY2XYQgo3BzzrG7 | 1JCJIGk7fjCgS027QJYcQxdqZ40ZE7NTT,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0017.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0017.MP4
c0018.mp4,2,1b5Y4AsnTwvFYQxiDqWseMPG0pfo0R7MH | 15QsSA3w17UQalVwH1ysyP81UxI8wU6jF,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0018.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0018.MP4
c0019.mp4,2,1TO_g6gYnJHCP5mM1zJp3hi2YF0ZsH7FV | 1FLC2Ofb1NwIreIwZVzQroOP4kMuS-Pcf,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0019.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0019.MP4
c0020.mp4,2,1urUb70K4eiFHdCzXRZph1_pyEHo-ByfA | 1nrhApk5QQ7hCBP1fmUMlMlu-18QyODvh,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0020.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0020.MP4
c0021.mp4,2,1O72h4LbwjslQvzb4wJapPPPPXT5yQvhV | 1qyKp5jadrvY5NgVGuycQucGSwwx_Cy_Y,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0021.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0021.MP4
c0022.mp4,2,1i1zEJlyOfiLowXHOmpxTsGxxA6dJlS2U | 1UicBLz2uYHWORo1MauEXG5VWq5GqKhJw,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0022.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0022.MP4
c0023.mp4,2,1ICNCyTBVM4czRFdQYrgcXlvkWlqWCd_Y | 1_m1sq3r4r9lqZr3idYEiJ0g9BUCLgtyU,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0023.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0023.MP4
c0026.mp4,2,16Q6rwtc-zHqPapm7CjFdzakkDX9gBi5r | 1OSi-Ujyzr7iZBoxKEdklNR-eBO8ko1FF,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0026.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0026.MP4
c0030.mp4,2,1KFinwwhZypC6rzpcNwuMcuh_fuyzOls8 | 1TufbR7NTenz-tZNpcC6vP-jj_hJXVyK8,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0030.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0030.MP4
c0031.mp4,2,16pFzSw7K1V6PHDleFciDaN9xgcE2x0Sf | 1RAAwGtkprGkeTX9JlcdZwmoL5pFOdCjQ,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0031.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0031.MP4
